Please add any networks advancing open scholarship in their communities, and add or fix any missing data in the ones listed already! JOIN THE GOOGLE GROUP HERE: https://groups.google.com/a/cos.io/forum/#!forum/network-of-open-science-grassroots-networks													
Name	Website	Twitter Handle	Facebook Page	Region Served (specify or ALL)	Discipline(s) Served (Specify or ALL)	Topics/Activities Served (Specify or ALL)	Kind of Topics	Primary Contact (email)	Primary Contact (other)	Secondary Contact (email)	Secondary Contact (other)	Comments	
101 Innovations in Scholarly Communication	https://101innovations.wordpress.com			ALL (based on University Utrecht)	ALL	tools, platforms, pratices, advocacy	Project	b.m.r.kramer@uu.nl	@MsPhelps	j.bosman@uu.nl	@jeroenbosman		
Academic Data Science Alliance	http://academicdatascience.org	@AcademicDataSci		ALL but mostly U.S.	ALL	ALL	Community	micaela@academicdatascience.org		steve@academicdatascience.org		We support communities of academic data scientists who are committed to open science	
Access 2 Perspectives	https://access2perspectives.org	@openscicomm	 https://www.facebook.com/access2perspectives/	ALL	ALL	ALL	Service	info@access2perspectives.org					
Açık Bilim Türkiye (Open Science Community Turkey)	acikbilimtt.github.io	@acikbilim_tt	https://www.facebook.com/acikbilimtt	Turkey	Pscyhology, Linguistics	ALL	Community	acikbilimtt@gmail.com	melishazir@gmail.com	misirlisoy@gmail.com			
Adelaide Open Research Network	https://osf.io/be7yt/	@adelaideopenres		Adelaide, Australia	ALL	ALL	Community	oren.griffiths@flinders.edu.au	@orengriffiths	rachel.searston@adelaide.edu.au	@searstonr	Part of the Australia & New Zealand Open Research Network (ANZORN)	
Africa Open Science and Hardware	http://africaosh.com/	@africaOSH	https://web.facebook.com/AfricaOSH/?ref=bookmarks	African regions	ALL	ALL	Community	organisers@africaosh.com	@AfricaOSH	thomasmboa@gmail.com	@Mboathomas		
AfricArXiv	http://africarxiv.org	@AfricArxiv	https://www.facebook.com/africarxiv/	African regions	ALL	Preprints and Postprints	Service	info@africarxiv.org	@africarxiv	jo@africarxiv.org	@johave		
Agora Open Science Trust				ALL	Life Sciences, Social Sciences	Biomedical research, drug discovery, science policy	Community						
AgriXiv	https://agrixiv.org/	@agrixiv	https://www.facebook.com/AgriXiv/	ALL	Agricultural Sciences	Preprints and Postprints	Service	gutam2000@gmail.com	@sridharGutam			Open Access India <openaccessindia.org>	
AmeliCA	http://amelica.org/index.php/en/home/	@Ameli_CA	@ameli.conocimientoabierto					ameli.conocimientoabierto@gmail.com					
Arabixiv	https://arabixiv.org/	@arabixiv		Arab regions and languages	ALL	Preprints and Postprints	Service	khaled.moustafa@arabixiv.org					
arXiv	http://arxiv.org	@arxiv		ALL	physics, mathematics, computer science, quantitative biology, quantitative finance, statistics, electrical engineering and systems science, and economics	Preprints and Postprints	Service	oyr1@cornell.edu	je277@cornell.edu	brp53@cornell.edu			
ASAP  --  Alexander (Sasha) Wait Zaranek, PhD.  <awz@curii.com> Co-Founder, Harvard Personal Genome Project (PGP) Chief Innovation Officer, Curii Corporation. Founder https://arvados.org  They/Thembio	https://asapbio.org/	@asapbio_		ALL	Life Sciences	Preprints, Peer Review	Service	jessica.polka@asapbio.org	@jessicapolka	naomi.penfold@asapbio.org	@npscience		
Association for Interdisciplinary Metaresearch and Open Science (AIMOS)	https://aimos.community/	@aimos_inc		ALL, but mostly Australia and NZ	ALL	ALL, peer review, scientific publishing, meta-research, workshop	Conference	aimos.inc@gmail.com	@aimos_inc	fidlerfm@unimelb.edu.au	@fidlerfm	Next conference Dec 3-4 2020. Call for abstracts now open: https://aimos.community/2020-details	
Association pour la Promotion de la Science Ouverte en Haiti et en Afrique	www.apsoha.africa 			Africa (French speaking) and Haiti 	Scholarly Communication, Citizen Science	Advocacy, trainings, workshop	Project	thomasmboa@gmail.com					
Astrophysics Source Code Library	https://ascl.net/	@asclnet	https://www.facebook.com/ASCLnet	ALL	Astrophysics/astronomy/planetary science	Citable software registry/repository, preprints, open data	Service	aallen@ascl.net	@asclnet	editor@ascl.net		Making astro research software discoverable for 20 years; we work with journals/orgs/others to have the community recognize software as a first-order research object	
Australia and New Zealand Open Research Network	https://www.anzopenresearch.org/			Australia and New Zealand	ALL	ALL	Community	m.ling@deakin.edu.au				Aims to support local communities of practice, that support new adopters of open practices, normalise open research, and encourage direct interpersonal contact between open researchers and the broader research community. 	
Australian Data Science Education Institute	http://adsei.org	@dataSciAu		ALL, but mostly Australia and NZ	Education, ALL	Open Data	Institute	linda@adsei.org				Charity which aims to provide teachers with training and resources to use data science and real datasets in their teaching, right across the curriculum. Advocate for Open Data.	
Berkeley Initiative for Transparency in the Social Sciences	http://bitss.org	@ucbitss	https://www.facebook.com/CenterforEffectiveGlobalAction/	ALL, University Berkeley	Social Sciences	Pre-registration, Open Data, Open Materials/Code, Evaluation, Community-building, Preprints and Postprints, Meta-Reviews, Peer Reviews	Initiative	emiguel@berkeley.edu 		khoeberling@berkeley.edu 	abogdanoski@berkeley.edu	UC Berkeley-based initiative focused on meta-research, training, and institutional support; also with more distributed network of researchers and educators (Catalyst program)	
Berlin open science meetup	https://www.meetup.com/de-DE/Berlin-Open-Science-Meetup/	NA	NA	Berlin, Germany	ALL	ALL	Community	julien.colomb@fu-berlin.de				In flesh meetings of open science interested folks in Berlin, meet about once a month.	
bioRxiv	http://biorxiv.org/	@biorxivpreprint		ALL	Life sciences	Preprints and Postprints	Service	sever@cshl.edu 		inglis@cshl.edu 			
Blue Obelisk	https://blueobelisk.github.io/	@blueobeliskx		ALL	chemistry	Open Data, Open Source, Open Standards, Open Access	Community	blueobelisk-discuss@lists.sourceforge.net				See https://jcheminf.biomedcentral.com/articles/10.1186/1758-2946-3-37	
bodoArXiv	https://bodoarxiv.org/			ALL	Medieval studies	Preprints and Postprints	Service	g.geltner@uva.nl		smail@fas.harvard.edu			
Brazil: Fostering Transparency in Government Institutions & Higher Education	https://tinyurl.com/brazil-transparency	@polscireplicate		Brazil	Social Sciences	Replication, Transparent Workflows	Blog	nicolejanz@gmail.com		dalsonbritto@yahoo.com.br			
Brazilian Reproducibility Initiative	http://reprodutibilidade.bio.br	@BrRepInitiative	http://facebook.com/reprodutibilidade.bio.br	Brazil	Biomedical Science	Replication	Initiative	reprodutibilidade.br@gmail.com		olavo@bioqmed.ufrj.br			
Brisbane Open Research Network	https://born.netlify.com/	@brisopenres		Brisbane, Australia	ALL	ALL	Community	r.panczak@uq.edu.au	@RPanczak			Part of the Australia & New Zealand Open Research Network (ANZORN)	
Bullied Into Bad Science	http://bulliedintobadscience.org/	#BulliedIntoBadScience		ALL	ALL	ALL	Initiative	corina_logan@eva.mpg.de	@LoganCorina	laurent.gatto@gmail.com		Leading individuals and institutions in adopting open practices to improve research rigour	
Canadian Open Neuroscience Platform (CONP)	https://conp.ca/	@neurolibre		Canada and its International Partners	Neuroscience	FAIR, Open Data, Open Access, Training	Project/ Platform	nasermuja.phd@gmail.com	@nasermu	info@conp.ca	@neurolibre		
CBS Open Science, Leipzig	https://www.cbs.mpg.de/en/cbs-open-science	@CBSOpenScience		Germany, MPI for Human Cognitive and Brain Sciences, Leipzig	Human Cognitive and Brain Sciences	We organize regular meetings and workshops for researchers at all career levels to foster open science in their daily work	Initiative	paulm@cbs.mpg.de	openscience@cbs.mpg.de				
Center for Open Science	http://cos.io/	@osframework	https://www.facebook.com/CenterForOpenScience/	ALL	ALL	ALL, Preregistration, Preprints	Service	support@cos.io	@osfsupport	nosek@cos.io	@briannosek	Maintains OSF (http://osf.io/), conducts metascience, and promotes policies, incentives, and norms to increase openness, integrity, and reproducibility of research.	
Center for Reproducible Science UZH	http://www.crs.uzh.ch	@crsuzh		University of Zurich, Switzerland	ALL	ALL	Community	crs@ebpi.uzh.ch	@crsuzh	eva.furrer@uzh.ch	@furrer_ebpi	Competence Center of the University of Zurich	
Center for the Advancement of Special Education Research (CASPER)	https://curry.virginia.edu/faculty-research/centers-labs-projects/research-labs/casper	@casperopensci		ALL, University Virginia	Special Education	meta-research, Open research, Open Materials	Project	bc3qu@virginia.edu		wjt2c@virginia.edu			
China Open Research Network (CORN)	https://corn.groups.politics.utoronto.ca/	NA		ALL, based on University Toronto		Open research	Community	asif.farooq@mail.utoronto.ca		scott.mcknight@mail.utoronto.ca		https://corn.groups.politics.utoronto.ca/?page_id=288	
Chinaxiv	www.chinaxiv.org			China	ALL	Preprint	Service	eprint@mail.las.ac.cn					
Chinese Open Science Network (COSN)	https://osf.io/9d7y4/	@hcp4715		China	ALL	Promoting Open Science among Young Chinese researchers	Project	hcp4715@gmail.com	@hcp4715, @OpenScienceinC1	pmsp96@gmail.com	@SauChin_Chen      	mostly in Chinese, occasionally in English, OSF:https://osf.io/9d7y4/	
CLOSER Discovery	discovery.closer.ac.uk	@CLOSER_UK		UK	Social Science, Biomedical, Population Health	Longitudinal studies data, open data	Service	jon.johnson@ucl.ac.uk					
COAR (Confederation of Open Access Repositories)	https://www.coar-repositories.org	@COAR_eV	https://www.facebook.com/COAReV	ALL	ALL	Open repositories, open infrastruce, knowledge commons	Community	office@coar-repositories.org	@COAR_eV			COAR is an international association with over 140 members and partners from around the world representing libraries, universities, research institutions, government funders and others. COAR brings together the repository community and major repository networks in order build capacity, align policies and practices, and act as a global voice for the repository community.	
Code for Science & Society	https://codeforscience.org/	@codeforsociety		US/ALL		Open Source, Open Material/Code	Service	danielle@codeforscience.org	@daniellecrobins	joe@codeforscience.org			
Common Workflow Language project	https://www.commonwl.org	@commonwl		ALL	ALL, started in life sciences	specification for describing analysis workflows and tools, Open Materials	Guideline, Project	mrc@commonwl.org					
